taxa	stitle	assembly_accession	domain	phylum	class	order	family	genus	species
NUO08933.1	NUO08933.1 MAG: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Brocadia sp.]	GCA_013360945.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp013360945
NUO08286.1	NUO08286.1 MAG: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Brocadia sp.]	GCA_013360945.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp013360945
TVM03670.1	TVM03670.1 MAG: hypothetical protein CV087_03710 [Candidatus Brocadia sp. WS118]	GCA_007618135.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sp007618135
OOP57695.1	OOP57695.1 hypothetical protein AYP45_01925 [Candidatus Brocadia caroliniensis]	GCA_002009475.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia caroliniensis
KKO18399.1	KKO18399.1 Na+-translocating NADH-quinone reductase subunit F [Candidatus Brocadia fulgida]	GCA_000987375.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia fulgida
BBO18516.1	BBO18516.1 Na+-translocating NADH:quinone oxidoreductase [Candidatus Brocadia pituitae]	GCA_017347445.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia pituitae
BBO19264.1	BBO19264.1 Na+-transporting NADH:ubiquinone oxidoreductase subunit F [Candidatus Brocadia pituitae]	GCA_017347445.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia pituitae
WP_070066568.1	WP_070066568.1 2Fe-2S iron-sulfur cluster-binding protein [Candidatus Brocadia sapporoensis]	GCF_001753675.2	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Brocadia	Brocadia sapporoensis
GAB61036.1	GAB61036.1 Na+-translocating NADH-quinone reductase subunit F [Candidatus Jettenia caeni]	GCA_000296795.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Jettenia	Jettenia caeni
TLD40401.1	TLD40401.1 Na(+)-translocating NADH-quinone reductase subunit F [Candidatus Jettenia ecosi]	GCA_005524015.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	Jettenia	Jettenia ecosi
MBT3353385.1	MBT3353385.1 MAG: hypothetical protein HN402_00555, partial [Candidatus Scalindua sp.]	GCA_018648405.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Scalinduaceae	Scalindua	Scalindua sp018648405
MBU6392148.1	MBU6392148.1 2Fe-2S iron-sulfur cluster binding domain-containing protein, partial [Planctomycetes bacterium]	GCA_018968795.1	Bacteria	Planctomycetota	Brocadiae	Brocadiales	Brocadiaceae	REEB58	REEB58 sp018968795
WP_072864826.1	WP_072864826.1 FAD-binding oxidoreductase [Marinitoga hydrogenitolerans]	GCF_900129175.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga hydrogenitolerans
NLA84282.1	NLA84282.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Clostridiales bacterium]	GCA_012510895.1	Bacteria	Firmicutes_A	Clostridia	Caldicoprobacterales	DTU083	JAAZHD01	JAAZHD01 sp012510895
HHT66492.1	HHT66492.1 TPA: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Clostridiales bacterium]	GCA_012837325.1	Bacteria	Firmicutes_A	Clostridia	Caldicoprobacterales	DTU083	DURK01	DURK01 sp012837325
WP_165144072.1	WP_165144072.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Marinitoga sp. 38H-ov]	GCF_011057715.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga sp011057715
MBN2180509.1	MBN2180509.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Sedimentisphaerales bacterium]	GCA_016933295.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	JAFGPS01	JAFGPS01 sp016933295
MBN1359042.1	MBN1359042.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Sedimentisphaerales bacterium]	GCA_016927855.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	PLanc-01	PLanc-01 sp016927855
MBN1361722.1	MBN1361722.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Sedimentisphaerales bacterium]	GCA_016927855.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	PLanc-01	PLanc-01 sp016927855
JAEDDH010000041.1_1	JAEDDH010000041.1_1 # 139 # 1437 # -1 # ID=48_1;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=11bp;gc_cont=0.497	GCA_016293845.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp016293845
NLN41674.1	NLN41674.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Clostridiales bacterium]	GCA_012522165.1	Bacteria	Firmicutes_A	Clostridia	Caldicoprobacterales	UBA3941	JAAYGY01	JAAYGY01 sp012522165
TYB32067.1	TYB32067.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Mcinerneyibacterium aminivorans]	GCA_008086245.1	Bacteria	Mcinerneyibacteriota	Mcinerneyibacteria	Mcinerneyibacteriales	Mcinerneyibacteriaceae	Mcinerneyibacterium	Mcinerneyibacterium aminivorans
WP_205097656.1	WP_205097656.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Marinitoga litoralis]	GCF_016908145.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga litoralis
MBP5368681.1	MBP5368681.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F, partial [Bacteroidales bacterium]	GCA_017960885.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp017960885
MBP5501949.1	MBP5501949.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017962175.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp017962175
JAEERW010000005.1_147	JAEERW010000005.1_147 # 185659 # 186957 # -1 # ID=23_147;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.497	GCA_016286055.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp016286055
WP_146429700.1	WP_146429700.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Blastopirellula retiformator]	GCF_007859755.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Blastopirellula	Blastopirellula retiformator
NLN85771.1	NLN85771.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_012522635.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Syntrophosphaera	Syntrophosphaera sp012522635
NLM40463.1	NLM40463.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Firmicutes bacterium]	GCA_012521295.1	Bacteria	Firmicutes_G	Limnochordia	DTU010	DTU010	JAAYMS01	JAAYMS01 sp012521295
WP_047267455.1	WP_047267455.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Marinitoga sp. 1197]	GCF_001021165.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Marinitoga	Marinitoga sp001021165
NLJ03138.1	NLJ03138.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Firmicutes bacterium]	GCA_012518325.1	Bacteria	Firmicutes_G	Limnochordia	DTU010	DTU010	UBA5420	UBA5420 sp012518325
MBP3737717.1	MBP3737717.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Muribaculaceae bacterium]	GCA_017940245.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp017940245
CAJOEN010000037.1_26	CAJOEN010000037.1_26 # 28489 # 29727 # -1 # ID=37_26;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=6bp;gc_cont=0.514	GCA_905233475.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1219	UBA1219 sp905233475
MBI1249308.1	MBI1249308.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [bacterium]	GCA_016124445.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Bremerella	Bremerella sp016124445
MBN1257112.1	MBN1257112.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetes bacterium]	GCA_016927125.1	Bacteria	Planctomycetota	SZUA-567	SZUA-567	JAFGNG01	JAFGNG01	JAFGNG01 sp016927125
WP_101136274.1	WP_101136274.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacterium sp. ALD4]	GCF_002836475.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002836475
MBN2460501.1	MBN2460501.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_016935235.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	TCS61	JAFGRJ01	JAFGRJ01 sp016935235
MBR1798342.1	MBR1798342.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017480185.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp017480185
MBM4103970.1	MBM4103970.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Planctomycetes bacterium]	GCA_016873215.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	UBA7708	UBA7708 sp016873215
PKN72099.1	PKN72099.1 oxidoreductase [Candidatus Cloacimonetes bacterium HGW-Cloacimonetes-3]	GCA_002840645.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Cloacimonas	Cloacimonas sp002840645
DIWV01000010.1_100	DIWV01000010.1_100 # 122728 # 123831 # -1 # ID=10_100;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.425	GCA_002435865.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA5614	UBA5614 sp002435865
CACYRK010000008.1_64	CACYRK010000008.1_64 # 73301 # 74584 # 1 # ID=8_64;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.589	GCA_902776835.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp902776835
LT635553.1_561	LT635553.1_561 # 696169 # 697416 # -1 # ID=4_561;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=13bp;gc_cont=0.546	GCA_900120395.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A sp900120395
MBN8602919.1	MBN8602919.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Planctomycetes bacterium]	GCA_017303505.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	JAFLCP01	JAFLCP01 sp017303505
NLW19463.1	NLW19463.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_012728875.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Syntrophosphaera	Syntrophosphaera sp012728875
CAJOHZ010000005.1_49	CAJOHZ010000005.1_49 # 60077 # 61339 # 1 # ID=5_49;partial=00;start_type=ATG;rbs_motif=AAGAA;rbs_spacer=12bp;gc_cont=0.549	GCA_905234695.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp905234695
HHU79270.1	HHU79270.1 TPA: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Clostridiales bacterium]	GCA_012839095.1	Bacteria	Firmicutes_A	Clostridia	Caldicoprobacterales	DTU083	DUOA01	DUOA01 sp012839095
HEG43713.1	HEG43713.1 MAG TPA: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Phycisphaerales bacterium]	GCA_011053245.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	DRGS01	DRGS01 sp011053245
HEG43285.1	HEG43285.1 MAG TPA: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Phycisphaerales bacterium]	GCA_011053245.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	DRGS01	DRGS01 sp011053245
TFG65160.1	TFG65160.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Spirochaetales bacterium]	GCA_004525155.1	Bacteria	Spirochaetota	Spirochaetia	SPDA01	SPDA01	SPDA01	SPDA01 sp004525155
TFG59332.1	TFG59332.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Spirochaetales bacterium]	GCA_004525155.1	Bacteria	Spirochaetota	Spirochaetia	SPDA01	SPDA01	SPDA01	SPDA01 sp004525155
MBR5727940.1	MBR5727940.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Muribaculaceae bacterium]	GCA_017557285.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp017557285
MBN1948414.1	MBN1948414.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_016931665.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	TCS61	JAFGEH01	JAFGEH01 sp016931665
SFDZ01000016.1_5	SFDZ01000016.1_5 # 3944 # 5227 # -1 # ID=28_5;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.529	GCA_004557405.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	W0P28-013	W0P28-013 sp004557405
CACYCT010000068.1_11	CACYCT010000068.1_11 # 9593 # 10879 # -1 # ID=68_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.582	GCA_902772965.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp902772965
MBQ3617461.1	MBQ3617461.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017394445.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp017394445
USJF01000032.1_2	USJF01000032.1_2 # 193 # 1446 # 1 # ID=32_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=15bp;gc_cont=0.482	GCA_900554935.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A sp900554935
NLZ04162.1	NLZ04162.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Phycisphaerae bacterium]	GCA_012744475.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	SG8-4	PLanc-01	PLanc-01 sp012744475
DGWI01000042.1_20	DGWI01000042.1_20 # 23763 # 25046 # 1 # ID=28_20;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.572	GCA_002396085.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp002396085
JAEEJI010000222.1_7	JAEEJI010000222.1_7 # 5099 # 6382 # 1 # ID=280_7;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=15bp;gc_cont=0.559	GCA_016281825.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp016281825
NLO12083.1	NLO12083.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_012522935.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA3900	UBA3900 sp012522935
MBO7609696.1	MBO7609696.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Muribaculaceae bacterium]	GCA_017651515.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp017651515
DIXL01000085.1_104	DIXL01000085.1_104 # 147049 # 148155 # -1 # ID=63_104;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.429	GCA_002428685.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Cloacimonas	Cloacimonas sp002428685
WP_188220286.1	WP_188220286.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacterium pokkalii]	GCF_014596575.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium pokkalii
WP_145246847.1	WP_145246847.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Aeoliella mucimassa]	GCF_007748035.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Aeoliella	Aeoliella mucimassa
WP_146682240.1	WP_146682240.1 FAD-binding oxidoreductase [Limihaloglobus sulfuriphilus]	GCF_001999965.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Sedimentisphaeraceae	Limihaloglobus	Limihaloglobus sulfuriphilus
MBN1327377.1	MBN1327377.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Cloacimonetes bacterium]	GCA_016927675.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	TCS61	JAFGMF01	JAFGMF01 sp016927675
CAIVTL010000278.1_6	CAIVTL010000278.1_6 # 4486 # 5580 # 1 # ID=278_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638	GCA_903908785.1	Bacteria	WOR-3	WOR-3	UBA2258	UBA2258	UBA2258	UBA2258 sp903908785
CAJOPG010000040.1_6	CAJOPG010000040.1_6 # 6231 # 7502 # -1 # ID=40_6;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=5bp;gc_cont=0.500	GCA_905236355.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp905236355
HDS84623.1	HDS84623.1 MAG TPA: 2Fe-2S iron-sulfur cluster binding domain-containing protein [Phycisphaerales bacterium]	GCA_011048645.1	Bacteria	Planctomycetota	Phycisphaerae	Sedimentisphaerales	Anaerohalosphaeraceae	T3Sed10-213	T3Sed10-213 sp011048645
LFTC01000081.1_5	LFTC01000081.1_5 # 2769 # 3866 # -1 # ID=28_5;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.449	GCA_001512915.1	Bacteria	Firmicutes_A	Clostridia	Caldicoprobacterales	DTU083	DTU083	DTU083 sp001512915
ONLW01000016.1_47	ONLW01000016.1_47 # 46845 # 48122 # 1 # ID=36_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617	GCA_900318835.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp900318835
JAEEVE010000003.1_10	JAEEVE010000003.1_10 # 7201 # 8484 # -1 # ID=125_10;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=15bp;gc_cont=0.558	GCA_016290765.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	Sodaliphilus sp016290765
WP_018358164.1	WP_018358164.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Porphyromonas levii]	GCF_000379925.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas_A	Porphyromonas_A levii
TNF49828.1	TNF49828.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Deltaproteobacteria bacterium]	GCA_006226895.1	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadales	BM103	M0040	M0040 sp006226895
CACYJU010000012.1_27	CACYJU010000012.1_27 # 31584 # 32858 # 1 # ID=12_27;partial=00;start_type=TTG;rbs_motif=AATAA;rbs_spacer=3bp;gc_cont=0.537	GCA_902774845.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902774845
DDWJ01000018.1_102	DDWJ01000018.1_102 # 103482 # 104582 # 1 # ID=42_102;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.330	GCA_002345505.1	Bacteria	Firmicutes	Bacilli	Izemoplasmatales	UBA5603	UBA2289	UBA2289 sp002345505
DIQS01000035.1_57	DIQS01000035.1_57 # 72928 # 74031 # 1 # ID=6_57;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.493	GCA_002427325.1	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	UBA5456	UBA5456 sp002427325
WP_002651655.1	WP_002651655.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Blastopirellula marina]	GCF_000153105.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Blastopirellula	Blastopirellula marina
QDT69033.1	QDT69033.1 Na(+)-translocating NADH-quinone reductase subunit F [Planctomycetes bacterium MalM25]	GCA_007745835.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Botrimarina	Botrimarina sp007745835
MBR5847146.1	MBR5847146.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidaceae bacterium]	GCA_017555875.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA1189	UBA1189 sp017555875
MBQ9338723.1	MBQ9338723.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paludibacteraceae bacterium]	GCA_017450435.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp017450435
